Poem/poet,Type,year,imagist,time,expertise,alliterationFreq,assonanceFreq,consonanceFreq,slantEndRhymeFreq,perfectEndRhymeFreq,identityEndRhymeFreq,endRhymeFreq,soundDevicesFreq,imageability,concreteness,valence,arousal,wordFreq,typeTokenRatio,wordLength,objectWords,abstractWords,emotWords,numWords
Riot Act April 29 1992 by Ai,Poet,1947,0,modern,professional,0.0317,0.3861,0.5763,0.1016,0.0169,0,0.1355,0.9942,-1.01317225,-0.323066711,0.509647511,-0.104082097,955.628169,0.563380282,4.008450704,0.047887324,0.028169014,0.014084507,355
Twenty-year Marriage by Ai,Poet,1947,0,modern,professional,0.023,0.2923,0.4769,0.119,0,0,0.119,0.7923,-0.817081732,-0.107612866,0.249859979,-0.332163852,8840.430657,0.751824818,3.810218978,0.087591241,0.01459854,0,137
To Dorothy by Marvin Bell,Poet,1937,0,modern,professional,0,0.4313,0.5588,0.0277,0.0277,0.0277,0.0833,0.9901,-0.951055733,-0.329402371,0.702500955,-0.590990149,434.7211538,0.605769231,3.788461538,0.067307692,0.019230769,0,104
To an Adolescent Weeping Willow by Marvin Bell,Poet,1937,0,modern,professional,0.0096,0.298,0.3653,0.0312,0.0208,0,0.0625,0.673,-0.75911825,-0.087650304,0.352639979,-0.523433066,205.464455,0.511848341,3.545023697,0.08056872,0.037914692,0.018957346,211
Dream Song 26: The glories of the world struck me by John Berryman,Poet,1914,0,modern,professional,0.0409,0.4016,0.4344,0.0833,0.0625,0,0.1666,0.877,-1.186275965,-0.642425383,0.533847382,0.214715131,38.921875,0.6796875,4.078125,0.015625,0.0234375,0.03125,128
Dream Song 172: Your face broods by John Berryman,Poet,1914,0,modern,professional,0.0413,0.5041,0.6528,0.0416,0.0625,0,0.1041,1.1983,-1.037063302,-0.370788658,-0.128736209,-0.043102519,254.4065041,0.756097561,4.447154472,0.016260163,0.008130081,0.040650407,123
The Fish by Elizabeth Bishop,Poet,1911,0,modern,professional,0.0344,0.3713,0.5676,0.081,0.009,0.009,0.1036,0.9734,-0.851478827,-0.196303878,0.35680151,-0.205168181,321.8359788,0.576719577,4.32010582,0.037037037,0.015873016,0.018518519,378
Warning to the Reader by Robert Bly,Poet,1926,0,modern,professional,0.0292,0.421,0.5146,0.3333,0,0,0.3333,0.9649,-1.114195436,-0.385550532,0.472694758,-0.271068686,177.2011834,0.704142012,4.313609467,0.035502959,0.029585799,0.01183432,169
The Russian by Robert Bly,Poet,1926,0,modern,professional,0.0275,0.2247,0.4587,0.0952,0.0158,0,0.1269,0.711,-0.905109639,-0.245603847,0.526936487,-0.318190354,140.4405286,0.585903084,3.726872247,0.039647577,0.004405286,0.017621145,227
A Lovely Love by Gwendolyn Brooks,Poet,1917,0,modern,professional,0.0377,0.2924,0.6037,0.2222,0.1666,0,0.3888,0.9339,-0.990356576,-0.302890512,0.726456357,-0.402869695,1069.224299,0.76635514,4.439252336,0.037383178,0.009345794,0.018691589,107
The Choir by Olga Broumas,Poet,1949,0,modern,professional,0,0.4418,0.3488,0.2666,0,0,0.2666,0.7906,-1.026703881,-0.506446738,0.646972472,-0.530910865,227.1590909,0.818181818,4.75,0,0.022727273,0.022727273,44
at the cemetery walnut grove plantation south carolina 1989 by Lucille Clifton,Poet,1936,0,modern,professional,0.0333,0.3083,0.7583,0.0707,0,0.1111,0.1919,1.1,-1.007145493,-0.252519167,0.227469721,-0.364492623,103.0330579,0.520661157,4.553719008,0.041322314,0,0.016528926,121
scar by Lucille Clifton,Poet,1936,0,modern,professional,0.0465,0.279,0.2558,0.0333,0,0.0333,0.0666,0.5813,-0.688671255,-0.074371659,0.47875727,-0.303611205,82.45454545,0.681818182,3.75,0.136363636,0.045454545,0.045454545,44
Japan by Billy Collins,Poet,1941,0,modern,professional,0.0124,0.3029,0.3112,0.0808,0,0.0404,0.1212,0.6265,-0.925708169,-0.283658148,0.544391714,-0.458813402,48.61316872,0.473251029,3.621399177,0.061728395,0.012345679,0.016460905,243
Writing in the Afterlife by Billy Collins,Poet,1941,0,modern,professional,0.0168,0.3655,0.4579,0.0937,0,0.0104,0.1041,0.8403,-1.140216939,-0.496397388,0.476073863,-0.286143929,98.9958159,0.60251046,4.292887029,0.033472803,0.012552301,0.0041841,239
The Language by Robert Creeley,Poet,1926,0,modern,professional,0.0196,0.196,0.4117,0.106,0,0.0151,0.1212,0.6274,-0.87215373,-0.414143742,0.428827556,-0.117163118,264.9807692,0.769230769,3.788461538,0.038461538,0.019230769,0.057692308,52
The Warning by Robert Creeley,Poet,1926,0,modern,professional,0,0.387,0.3225,0.1111,0,0,0.1111,0.7096,-0.905873191,-0.386352893,0.579104888,0.388998799,20.71875,0.875,3.6875,0.0625,0,0.09375,32
Adultery by James Dickey,Poet,1923,0,modern,professional,0.0368,0.3975,0.5,0.1397,0,0.0107,0.1505,0.9344,-1.027120609,-0.330333544,0.339226188,-0.050521338,266.3346939,0.628571429,4.06122449,0.036734694,0.012244898,0.008163265,245
