Type,Poem/poet,alliterationFreq,assonanceFreq,consonanceFreq,slantEndRhymeFreq,perfectEndRhymeFreq,identityEndRhymeFreq,endRhymeFreq,soundDevicesFreq,imageability,concreteness,valence,arousal,numOOV,numWords,propOOV,wordFreq,typeTokenRatio,wordLength,objectWords,abstractWords,propNoImage,emotWords,pleasurWords,painWords,wordFreqInc
contempPoet,"RiotAct,April29,1992,byAi/Poet",0.0317,0.3861,0.5763,0.1016,0.0169,0,0.1355,0.9942,337.7261905,2.700729167,5.713592233,4.117281553,0,355,0,2.160010778,0.563380282,4.008450704,0.047887324,0.028169014,0.290140845,0.014084507,0.002816901,0.002816901,955.628169
contempPoet,"Twenty-yearMarriage,byAi/Poet",0.023,0.2923,0.4769,0.119,0,0,0.119,0.7923,359.2429907,2.9245,5.382391304,3.912826087,0,137,0,2.458693009,0.751824818,3.810218978,0.087591241,0.01459854,0.218978102,0,0,0,8840.430657
contempPoet,"ToDorothy,byMarvinBell/Poet",0,0.4313,0.5588,0.0277,0.0277,0.0277,0.0833,0.9901,344.5421687,2.694148936,5.959459459,3.680810811,0,104,0,2.105681418,0.605769231,3.788461538,0.067307692,0.019230769,0.201923077,0,0,0,434.7211538
contempPoet,"ToanAdolescentWeepingWillow,byMarvinBell/Poet",0.0096,0.298,0.3653,0.0312,0.0208,0,0.0625,0.673,365.6032609,2.945233161,5.513424658,3.741369863,1,211,0.004739336,1.976070825,0.511848341,3.545023697,0.08056872,0.037914692,0.127962085,0.018957346,0,0.014218009,205.4691943
contempPoet,"DreamSong26:Thegloriesoftheworldstruckme,byJohnBerryman/Poet",0.0409,0.4016,0.4344,0.0833,0.0625,0,0.1666,0.877,318.7317073,2.369042553,5.744444444,4.403055556,4,128,0.03125,2.107678303,0.6796875,4.078125,0.015625,0.0234375,0.359375,0.03125,0.015625,0.015625,38.953125
contempPoet,"DreamSong172:Yourfacebroods,byJohnBerryman/Poet",0.0413,0.5041,0.6528,0.0416,0.0625,0,0.1041,1.1983,335.1046512,2.651165049,4.899722222,4.171944444,2,123,0.016260163,2.484212701,0.756097561,4.447154472,0.016260163,0.008130081,0.300813008,0.040650407,0,0.032520325,254.4227642
contempPoet,"TheFish,byElizabethBishop/Poet",0.0344,0.3713,0.5676,0.081,0.009,0.009,0.1036,0.9734,355.4686347,2.832385321,5.518730159,4.026666667,1,378,0.002645503,2.686765406,0.576719577,4.32010582,0.037037037,0.015873016,0.283068783,0.018518519,0,0.015873016,321.8386243
contempPoet,"WarningtotheReader,byRobertBly/Poet",0.0292,0.421,0.5146,0.3333,0,0,0.3333,0.9649,326.6410256,2.635833333,5.666481481,3.967592593,1,169,0.00591716,2.126812037,0.704142012,4.313609467,0.035502959,0.029585799,0.307692308,0.01183432,0.00591716,0.01183432,177.2071006
contempPoet,"TheRussian,byRobertBly/Poet",0.0275,0.2247,0.4587,0.0952,0.0158,0,0.1269,0.711,349.5837838,2.781182266,5.735633803,3.925352113,0,227,0,1.96005191,0.585903084,3.726872247,0.039647577,0.004405286,0.185022026,0.017621145,0,0.004405286,140.4405286
contempPoet,"ALovelyLove,byGwendolynBrooks/Poet",0.0377,0.2924,0.6037,0.2222,0.1666,0,0.3888,0.9339,340.2297297,2.721684211,5.99,3.849444444,1,107,0.009345794,2.762885387,0.76635514,4.439252336,0.037383178,0.009345794,0.308411215,0.018691589,0.009345794,0,1069.233645
contempPoet,"TheChoir,byOlgaBroumas/Poet",0,0.4418,0.3488,0.2666,0,0,0.2666,0.7906,336.2413793,2.51027027,5.888666667,3.734666667,1,44,0.022727273,2.546574868,0.818181818,4.75,0,0.022727273,0.340909091,0.022727273,0.022727273,0,227.1818182
