Riot Act April 29 1992 by Ai,Poet,355
Twenty-year Marriage by Ai,Poet,137
To Dorothy by Marvin Bell,Poet,104
To an Adolescent Weeping Willow by Marvin Bell,Poet,211
Dream Song 26: The glories of the world struck me by John Berryman,Poet,128
Dream Song 172: Your face broods by John Berryman,Poet,123
The Fish by Elizabeth Bishop,Poet,378
Warning to the Reader by Robert Bly,Poet,169
The Russian by Robert Bly,Poet,227
A Lovely Love by Gwendolyn Brooks,Poet,107
The Choir by Olga Broumas,Poet,44
at the cemetery walnut grove plantation south carolina 1989 by Lucille Clifton,Poet,121
scar by Lucille Clifton,Poet,44
Japan by Billy Collins,Poet,243
Writing in the Afterlife by Billy Collins,Poet,239
The Language by Robert Creeley,Poet,52
The Warning by Robert Creeley,Poet,32
Adultery by James Dickey,Poet,245
Tomatoes by Stephen Dobyns,Poet,336
Fragments by Stephen Dobyns,Poet,129
Wingfoot Lake by Rita Dove,Poet,243
The Stairway by Stephen Dunn,Poet,208
The Strange People by Louise Erdrich,Poet,266
New Vows by Louise Erdrich,Poet,126
Sexual Jealousy by Carol Frost,Poet,130
The Undressing by Carol Frost,Poet,141
To Kill a Deer by Carol Frost,Poet,201
Nostos Louise Gluck,Poet,124
Celestial Music by Louise Gluck,Poet,363
How Simile Works by Albert Goldbarth,Poet,104
The Older Child by Kimiko Hahn,Poet,55
The Porcelain Couple by Donald Hall,Poet,345
Reuben Reuben by Michael S. Harper,Poet,66
Our Lady of the Snows by Robert Hass,Poet,128
The Image by Robert Hass,Poet,89
Those Winter Sundays by Robert Hayden,Poet,100
This Night by William Heyen,Poet,115
Playing Dead by Andrew Hudgins,Poet,175
Degrees Of Gray In Philipsburg by Richard Hugo,Poet,313
Absences by Donald Justice,Poet,112
Variations On A Text By Vallejo by Donald Justice,Poet,290
After Making Love we Hear Footsteps by Galway Kinnell,Poet,180
Blackberry Eating by Galway Kinnell,Poet,94
Thrall by Carolyn Kizer,Poet,195
The Intruder by Carolyn Kizer,Poet,250
Facing It by Yusef Komunyakaa,Poet,179
Audacity of the Lower Gods by Yusef Komunyakaa,Poet,100
Heaven as Anus by Maxine Kumin,Poet,186
Nurture by Maxine Kumin,Poet,141
The Abduction by Stanley Kunitz,Poet,264
My Indigo by Li-Young Lee,Poet,85
Eating Alone by Li-Young Lee,Poet,187
The Mutes by Denise Levertov,Poet,222
Wedding-Ring by Denise Levertov,Poet,124
They Feed They Lion by Philip Levine,Poet,248
Animals Are Passing From Our Lives by Philip Levine,Poet,136
To Speak of Woe That Is in Marriage by Robert Lowell,Poet,112
Onions by William Matthews,Poet,268
Charles on Fire by James Merrill,Poet,201
b o d y by James Merrill,Poet,72
For the Anniversary of My Death by W.S. Merwin,Poet,84
When You Go Away by W.S. Merwin,Poet,102
Minor Miracle by Marilyn Nelson,Poet,260
The Small Vases from Hebron by Naomi Shihab Nye,Poet,187
Hello by Naomi Shihab Nye,Poet,233
