Poem/poet	wordCount	$Freq	'Freq	"""Freq"	(Freq	)Freq	",Freq"	#NAME?	?Freq	!Freq	.Freq	:Freq	;Freq	...Freq	CCFreq	CDFreq	DTFreq	EXFreq	FWFreq	INFreq	JJFreq	JJRFreq	JJSFreq	LSFreq	MDFreq	NNFreq	NNPFreq	NNPSFreq	properNounFreq	NNSFreq	PDTFreq	POSFreq	PRPFreq	PRP$Freq	RBFreq	RBRFreq	RBSFreq	RPFreq	SYMFreq	TOFreq	UHFreq	VBFreq	VBDFreq	VBGFreq	VBNFreq	VBPFreq	VBZFreq	WDTFreq	WPFreq	WP$Freq	WRBFreq	numLines	avgLineLength	1SGNFreq	2SGNFreq	3SGMFreq	3SGFFreq	3SGNFreq	1PLNFreq	2PLNFreq	3PLNFreq	contractionsFreq	avgWordLength	alliterationFreq	assonanceFreq	consonanceFreq	slantEndRhymeFreq	semiEndRhymeFreq	perfectEndRhymeFreq	identityEndRhymeFreq	adjFreq	nounFreq	verbFreq	conjFreq	topNounFreq	topAdjFreq	topVerbFreq	numStanzas	avgLinesPerStanza	comparativesFreq	soundDevicesFreq	partialEndRhymeFreq	fullEndRhymeFreq	endRhymeFreq
"GrowingOld,byMatthewArnold/19th"	0.5198	0	0.018	0	0	0	0.099	0	0.0225	0.018	0.0225	0.0045	0.0045	0	0.063	0	0.1216	0	0	0.09	0.0675	0.0135	0	0	0	0.1756	0.0135	0	0.0135	0.0225	0	0.0045	0.063	0.027	0.0675	0.009	0	0.0045	0	0.054	0.0135	0.0585	0.018	0.0045	0.018	0.027	0.036	0.009	0.0135	0	0.0045	0.4625	0.3057	0	0	0	0.0045	0.0405	0.045	0	0	0	0.1321	0.0271	0.2941	0.4977	0.0606	0	0	0	0.081	0.2117	0.1396	0.1531	0.009	0.009	0.036	0.5333	0.45	0.0225	0.819	0.0606	0	0.0606
"Twenty-First.Night.Monday,byAnnaAkhmatova/19th"	0.3327	0	0	0	0	0	0.075	0	0	0	0.0875	0.0125	0	0.0125	0.075	0	0.1	0	0	0.1125	0.0375	0	0	0	0	0.15	0.025	0	0.025	0.05	0.0125	0	0.1125	0	0.0625	0	0	0.0125	0	0.0125	0	0.025	0.0125	0	0.0125	0.0625	0.0625	0	0.0125	0	0.025	0.2222	0.3111	0.025	0	0	0	0.0375	0	0	0.05	0.0125	0.3116	0.0126	0.4936	0.6329	0.0666	0	0	0	0.0375	0.225	0.1625	0.1875	0.025	0.0125	0.025	0.25	0.35	0	1.1392	0.0666	0	0.0666
"AutumnalSonnet,byWilliamAllingham/19th"	0.3819	0	0	0	0	0	0.109	0	0	0	0.0181	0	0.009	0	0.0727	0.009	0.0818	0	0	0.109	0.0818	0	0	0	0.0181	0.2	0.0454	0	0.0454	0.0727	0	0.0181	0.0363	0.009	0.0636	0	0	0	0	0.0181	0	0.0545	0.0181	0.0181	0.0181	0	0.0272	0.009	0	0	0.0272	0.2444	0.3309	0	0	0	0	0.0272	0.0181	0	0	0.009	0.2266	0.0733	0.2752	0.5871	0	0	0.1666	0	0.0909	0.3181	0.1	0.1818	0.0181	0.009	0.009	0.05	1	0	0.9357	0	0.1666	0.1666
"TheWindow,byConradAiken/19th"	0.5216	0	0	0	0	0	0	0	0	0	0.0044	0	0	0	0.0669	0	0.183	0	0	0.1607	0.0892	0	0	0	0	0.2187	0.0044	0	0.0044	0.0357	0	0	0.0535	0.0178	0.0178	0	0	0	0	0.0178	0	0.0044	0.0133	0.0267	0	0.0044	0.0803	0	0.0044	0	0	0.4687	0.3037	0	0	0.0089	0.0491	0.0089	0	0	0.0044	0	0.1258	0.0224	0.408	0.4215	0.049	0	0.0686	0.0392	0.0892	0.2589	0.1026	0.2276	0.0223	0.0178	0.0223	0.62	0.35	0	0.852	0.049	0.1078	0.1568
"Sonnet32-Thefirsttimethatthesunroseonthineoath,byElizabethBarrettBrowning/19th"	0.4024	0	0.0081	0	0	0	0.1147	0	0	0	0.0327	0	0.0081	0	0.0491	0.0163	0.0819	0	0	0.0983	0.0901	0	0	0	0.0327	0.1721	0.0081	0	0.0081	0.0491	0	0.0081	0.0655	0.0081	0.0737	0	0	0	0	0.0409	0	0.0409	0.0655	0.0163	0.0163	0.0081	0.0081	0.0163	0	0	0	0.2444	0.3678	0.0655	0	0.0081	0	0	0	0	0	0	0.2229	0.0165	0.2231	0.7851	0.0833	0	0.1388	0	0.1065	0.2295	0.1229	0.1475	0.0081	0.0163	0.0163	0.05	1	0	1.0247	0.0833	0.1388	0.2222
"MyLastDuchess,byRobertBrowning/19th"	0.7044	0	0.0065	0.0261	0.0021	0.0021	0.0915	0.0021	0.0087	0.0065	0.0283	0.0065	0.0174	0	0.0457	0.0043	0.0871	0.0087	0	0.1132	0.0479	0	0.0021	0	0.0217	0.1612	0.037	0	0.037	0.0261	0	0.013	0.0915	0.0413	0.0784	0	0	0.0021	0	0.0196	0.0021	0.0544	0.0566	0.0174	0.0174	0.0217	0.0174	0.0108	0.0043	0	0.0065	0.5761	0.3549	0.0457	0.0217	0.0021	0.0501	0.0021	0.0043	0	0.0065	0.0108	0.2152	0.0218	0.2663	0.5262	0.0617	0	0.1419	0	0.0544	0.2244	0.1503	0.159	0.0065	0.0065	0.0065	0.05	1	0.0021	0.8144	0.0617	0.1419	0.2037
"MyEarlierLife,byCharlesBaudelaire/19th"	0.395	0	0.0084	0	0	0	0.1186	0	0	0	0.0254	0	0	0	0.0254	0.0084	0.1525	0	0	0.1271	0.1355	0	0	0	0	0.1525	0.0084	0	0.0084	0.1271	0	0	0.0423	0.0254	0.0169	0	0	0	0	0.0338	0	0.0254	0.0169	0.0169	0.0254	0.0169	0.0169	0.0169	0.0084	0.0084	0	0.2444	0.3607	0.0508	0	0	0	0.0084	0	0	0.0084	0.0084	0.2305	0.0341	0.4957	0.3846	0.0555	0.0277	0.0555	0	0.144	0.2881	0.0762	0.1525	0.0084	0.0084	0.0169	0.35	0.325	0	0.9145	0.0833	0.0555	0.1388
"TheSouthCountry,byHilaireBelloc/19th"	0.6659	0	0	0	0	0	0.0347	0	0.0024	0	0.0322	0.0074	0.0148	0	0.0595	0	0.1339	0.0074	0	0.1141	0.0521	0	0.0024	0	0.0297	0.1364	0.0397	0	0.0397	0.0645	0	0	0.0843	0.0372	0.0471	0	0.0024	0	0	0.0099	0	0.0397	0.0173	0.0074	0.0148	0.0521	0.0124	0.0148	0.0049	0	0.0124	0.5952	0.3119	0.0744	0	0	0.0074	0.0024	0.0049	0	0.0322	0.0024	0.1186	0.0174	0.3482	0.4776	0.0402	0.0114	0.1091	0.0057	0.0545	0.2406	0.1215	0.1736	0.0148	0.0049	0.0173	0.64	0.55	0.0049	0.8432	0.0517	0.1149	0.1666
"TheGeneralPublic,byStephenVincentBenet/19th"	0.6262	0	0.0057	0.0288	0	0	0.0864	0	0.0172	0.0201	0.0605	0	0.0057	0	0.0576	0.0086	0.1239	0.0028	0	0.1268	0.1008	0.0028	0.0086	0	0	0.1268	0.0403	0	0.0403	0.0662	0.0086	0.0028	0.0576	0.0201	0.0547	0.0028	0	0	0	0	0.0086	0.0086	0.0922	0.0288	0.0172	0.0115	0.0115	0.0115	0	0	0	0.5142	0.3517	0.0201	0.0057	0.0374	0	0.0028	0	0	0.0115	0.0028	0.2155	0.0491	0.2745	0.4797	0.0975	0	0.0081	0	0.121	0.2334	0.1239	0.1844	0.0317	0.0086	0.0115	0.25	1	0.0144	0.8034	0.0975	0.0081	0.1056
"EpitaphForARomanticWoman,byLouiseBogan/19th"	0.2615	0	0	0	0	0	0.0784	0	0	0	0.0784	0	0	0	0.0196	0	0.0392	0	0	0.1176	0.0588	0	0	0	0.0196	0.1372	0.0196	0	0.0196	0.0784	0	0	0.098	0.0392	0.0588	0	0	0	0	0	0	0.0196	0.0784	0.0392	0.0392	0.0196	0.0588	0	0	0	0.0588	0.15	0.3062	0	0	0	0.1176	0	0	0	0.0196	0	0.3137	0.02	0.3	0.56	0.1666	0	0.1111	0	0.0588	0.2352	0.1764	0.1372	0.0392	0.0196	0.0392	0.15	0.35	0	0.88	0.1666	0.1111	0.2777
"Victory,byRupertBrooke/19th"	0.3704	0	0	0	0	0	0.1941	0	0	0	0.0485	0	0	0	0.0582	0.0097	0.1067	0	0	0.1262	0.1553	0	0	0	0	0.1456	0.0291	0	0.0291	0.0776	0	0.0097	0.0388	0	0.0291	0	0	0.0097	0	0.0194	0.0097	0.0097	0.0582	0.0485	0.0194	0.0097	0	0	0	0	0	0.2444	0.3226	0.0097	0.0097	0	0	0	0.0194	0	0	0	0.4012	0.0686	0.3725	0.647	0.0277	0	0.1111	0	0.165	0.2524	0.0776	0.1844	0.0194	0.0097	0.0194	0.15	0.6499	0	1.0882	0.0277	0.1111	0.1388
"INeverLovedYouMore,byBertoltBrecht/19th"	0.3688	0	0	0	0	0	0.0588	0.0196	0	0	0.0392	0.0098	0	0	0.0392	0.0196	0.1078	0	0	0.147	0.098	0.0098	0	0	0	0.2156	0.0098	0	0.0098	0.0294	0	0	0.1176	0.0098	0.0784	0	0	0	0	0	0	0.0098	0.0686	0	0.0196	0.0098	0.0098	0	0	0	0	0.2222	0.3625	0.0784	0.0196	0	0	0.0196	0	0	0.0098	0	0.2032	0.0198	0.396	0.4356	0.0333	0.0333	0	0	0.1274	0.2549	0.098	0.1862	0.0392	0.0294	0.0196	0.25	0.35	0.0098	0.8514	0.0666	0	0.0666
"Stanza,byEmilyBronte/19th"	0.4419	0	0	0	0	0	0.0584	0	0.0064	0	0.0259	0.0259	0.0194	0	0.0519	0.0064	0.0844	0	0	0.1038	0.1038	0.0129	0	0	0.0389	0.1688	0	0	0	0.1038	0	0	0.0454	0.0129	0.0649	0	0	0	0	0.0194	0	0.0454	0.0129	0.0519	0.0064	0.0194	0.0064	0.0129	0.0064	0	0.0194	0.325	0.3283	0.0454	0	0	0	0.0129	0	0	0	0.0129	0.3112	0.0326	0.3856	0.5228	0.0185	0.0555	0.1481	0	0.1233	0.2727	0.0844	0.1558	0.0129	0.0129	0.0129	0.4333	0.35	0.0129	0.9411	0.074	0.1481	0.2222
"TheMissionary,byCharlotteBronte/19th"	0.9026	0	0.0038	0	0	0	0.1129	0	0.0009	0	0.0165	0.0038	0.0262	0	0.0506	0	0.0681	0.0038	0	0.0895	0.0847	0.0029	0.0029	0	0.0223	0.2239	0.0447	0.0009	0.0457	0.0321	0	0.0194	0.0535	0.0282	0.0457	0.0019	0	0.0009	0	0.0253	0.0019	0.0555	0.0321	0.0146	0.0204	0.0282	0.0165	0.0038	0.0136	0.0029	0.0116	0.8481	0.3076	0.0574	0	0.0116	0.0009	0.0048	0.0019	0	0.0048	0.0048	0.2254	0.0419	0.3372	0.6608	0.0828	0.0021	0.1082	0	0.0905	0.3018	0.1324	0.1402	0.0058	0.0038	0.0038	0.4666	1	0.0077	1.0399	0.0849	0.1082	0.1932
"Dora,byThomasEdwardBrown/19th"	0.3573	0	0	0	0	0	0.0842	0.021	0	0.021	0.0315	0	0.021	0	0.0421	0.0105	0.0947	0	0	0.1052	0.0736	0	0	0	0.0105	0.1789	0.0315	0	0.0315	0.0105	0	0.021	0.0947	0.0736	0.0315	0	0	0.0105	0	0.0526	0	0.0631	0.0842	0.0105	0	0.0105	0.0105	0	0	0	0	0.2444	0.313	0.0315	0	0.0421	0.0526	0.021	0.021	0	0	0	0.1087	0	0.2021	0.5531	0	0	0.1944	0	0.0842	0.221	0.1684	0.1473	0.021	0.021	0.0315	0.05	1	0	0.7553	0	0.1944	0.1944
