Poem/poet	wordCount	$Freq	'Freq	"""Freq"	(Freq	)Freq	",Freq"	#NAME?	?Freq	!Freq	.Freq	:Freq	;Freq	...Freq	CCFreq	CDFreq	DTFreq	EXFreq	FWFreq	INFreq	JJFreq	JJRFreq	JJSFreq	LSFreq	MDFreq	NNFreq	NNPFreq	NNPSFreq	properNounFreq	NNSFreq	PDTFreq	POSFreq	PRPFreq	PRP$Freq	RBFreq	RBRFreq	RBSFreq	RPFreq	SYMFreq	TOFreq	UHFreq	VBFreq	VBDFreq	VBGFreq	VBNFreq	VBPFreq	VBZFreq	WDTFreq	WPFreq	WP$Freq	WRBFreq	numLines	avgLineLength	1SGNFreq	2SGNFreq	3SGMFreq	3SGFFreq	3SGNFreq	1PLNFreq	2PLNFreq	3PLNFreq	contractionsFreq	avgWordLength	alliterationFreq	assonanceFreq	consonanceFreq	slantEndRhymeFreq	semiEndRhymeFreq	perfectEndRhymeFreq	identityEndRhymeFreq	adjFreq	nounFreq	verbFreq	conjFreq	topNounFreq	topAdjFreq	topVerbFreq	numStanzas	avgLinesPerStanza	comparativesFreq	soundDevicesFreq	partialEndRhymeFreq	fullEndRhymeFreq	endRhymeFreq
Onlybutadream/Amateur	0.5585	0	0	0.0075	0	0	0.0037	0	0	0	0.1207	0	0	0.1207	0.0339	0.0113	0.0792	0	0	0.1471	0.0226	0.0037	0	0	0	0.1245	0.0037	0	0.0037	0.0452	0.0037	0	0.132	0.0603	0.0452	0	0	0.0037	0	0.049	0	0.0641	0	0.0188	0.0037	0.1018	0.0264	0.0113	0	0	0	0.3875	0.46	0.0943	0.0528	0	0.0113	0.015	0.0188	0	0	0.0188	0.1074	0.0303	0.3068	0.4545	0.0579	0	0.0144	0.0144	0.0377	0.1735	0.1924	0.1811	0.0075	0.0075	0.0188	0.05	1	0.0037	0.7916	0.0579	0.0289	0.0869
Dr.HeinzDoofenshmirtz/Amateur	0.4333	0	0	0	0	0	0.1224	0	0	0.0136	0.0816	0	0	0	0.0136	0.0068	0.068	0.0068	0	0.068	0.0612	0	0	0	0	0.1088	0.0816	0	0.0816	0.0408	0	0	0.1496	0.0476	0.0612	0	0	0	0	0.068	0.0068	0.0476	0	0.0068	0.0068	0.102	0.0476	0	0.0068	0	0	0.4125	0.2611	0.1496	0.0136	0.0204	0	0	0.0068	0	0.0068	0.0136	0.1229	0.041	0.2739	0.3972	0.0533	0.0133	0.04	0	0.068	0.2312	0.1972	0.0816	0.0068	0.0136	0.0272	0.05	1	0	0.7123	0.0666	0.04	0.1066
Freedom/Amateur	0.3114	0	0	0	0	0	0.1194	0	0	0	0.0149	0	0	0	0.0149	0.0895	0.0447	0	0	0.0447	0.0447	0	0	0	0.0149	0.0895	0.0597	0	0.0597	0.0298	0.0149	0	0.0298	0	0.0298	0	0	0	0	0.0447	0	0.1194	0.0149	0.0447	0	0.0447	0.1194	0.0149	0.0298	0	0.0597	0.1666	0.324	0	0.0149	0	0	0	0	0	0.0149	0	0.2119	0.0303	0.5606	0.3787	0.0476	0	0	0.0476	0.1343	0.1791	0.2985	0.0597	0.0597	0.0447	0.0597	0.05	0.85	0	0.9696	0.0476	0.0476	0.0952
Thefoolishman/Amateur	0.5369	0	0	0	0	0	0.0705	0	0	0	0.0663	0	0	0	0.0663	0.0041	0.0829	0.0124	0	0.0912	0.0829	0	0.0041	0	0.0165	0.1618	0.0165	0	0.0165	0.0705	0	0	0.0705	0.0207	0.0414	0.0041	0	0	0	0.0331	0	0.0746	0.0124	0.0082	0.0082	0.0248	0.0497	0.0082	0.0165	0	0.0165	0.4187	0.3651	0.0331	0	0.0539	0	0.0041	0	0	0	0	0.1278	0.0291	0.2916	0.5791	0.0897	0	0.1538	0	0.0912	0.2489	0.1618	0.1576	0.0165	0.0124	0.0082	0.15	1	0.0082	0.9	0.0897	0.1538	0.2435
Liveforthemoment/Amateur	0.3409	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0705	0	0.1529	0	0	0.0823	0.047	0.0117	0	0	0.0117	0.1882	0.0235	0	0.0235	0	0	0	0.0705	0.0235	0.0352	0	0	0	0	0.0235	0	0.047	0	0	0.047	0.047	0.0941	0.0117	0	0	0.0117	0.325	0.2062	0.0823	0.0117	0	0	0	0	0	0	0	0.1019	0.0119	0.3452	0.488	0.074	0	0.0925	0	0.0588	0.2117	0.1882	0.1529	0.0235	0.0117	0.047	0.4333	0.35	0.0117	0.8452	0.074	0.0925	0.1666
Eatenup/Amateur	0.3245	0	0	0	0	0	0	0	0	0	0.2133	0	0	0	0.0133	0	0.0533	0	0	0.12	0.0266	0	0	0	0	0.2	0.04	0	0.04	0.0266	0	0.0133	0.1333	0.0266	0.08	0	0	0.0133	0	0	0.0133	0.0266	0.0666	0	0.0133	0.0666	0.0933	0.0133	0.0133	0	0	0.3125	0.1736	0	0.12	0	0	0.04	0	0	0	0.04	0.2186	0	0.4324	0.8108	0.1176	0	0	0.0588	0.0266	0.2666	0.2533	0.1333	0.0533	0.0133	0.04	0.35	0.4375	0	1.2432	0.1176	0.0588	0.1764
GatesofGoodbye/Amateur	0.4358	0	0	0	0	0	0.2348	0	0.0067	0	0.0268	0	0	0	0.0402	0.0201	0.0738	0.0067	0	0.114	0.1342	0.0067	0	0	0.0268	0.1677	0.0268	0.0067	0.0335	0.0469	0	0	0.0536	0.0067	0.0738	0	0	0	0	0.0335	0.0067	0.0872	0.0067	0.0201	0.0201	0.0268	0.0268	0	0	0	0	0.3875	0.274	0.0268	0.0067	0	0	0.0134	0.0067	0	0.0067	0.0335	0.2214	0.027	0.2702	0.6283	0.1014	0.0724	0.1884	0	0.161	0.2483	0.1476	0.1543	0.0134	0.0134	0.0201	0.4333	0.45	0.0067	0.9256	0.1739	0.1884	0.3623
truebeauty/Amateur	0.3655	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.06	0.01	0	0.09	0.23	0	0	0	0	0.25	0	0	0	0.03	0	0	0.04	0.01	0.04	0	0	0	0	0	0	0.04	0.01	0	0.02	0	0.16	0	0	0	0.01	0.2888	0.2638	0	0.01	0	0.04	0	0	0	0	0	0.208	0.0202	0.5959	0.7272	0.1875	0.0208	0.0833	0	0.23	0.28	0.21	0.09	0.17	0.19	0.12	0.05	1	0	1.3434	0.2083	0.0833	0.2916
AWalkinthePark/Amateur	0.3442	0	0	0	0	0	0.1264	0	0	0	0.0574	0	0	0	0.0459	0	0.0804	0	0	0.1724	0.0114	0	0	0	0.0229	0.1839	0	0	0	0.0689	0	0	0.1724	0.0459	0.0229	0	0	0	0	0	0	0.0574	0.0229	0	0	0.0804	0.0229	0	0	0	0.0114	0.375	0.1656	0.0804	0.1379	0	0	0	0	0	0	0.0229	0.118	0.0465	0.3837	0.5232	0.1818	0	0.0909	0.0303	0.0114	0.2528	0.1839	0.2183	0.0459	0.0114	0.0229	0.35	0.55	0	0.9534	0.1818	0.1212	0.303
Thetwoofthem/Amateur	0.3409	0	0	0	0	0	0.1529	0	0	0	0.047	0	0	0	0.1058	0	0.0352	0	0	0.1058	0.0941	0	0.0117	0	0	0.1294	0	0	0	0.0705	0	0	0.1058	0.0941	0.047	0	0	0	0	0.0117	0	0	0.0352	0.0352	0.047	0.0352	0.0117	0	0	0	0.0235	0.3125	0.2118	0.0117	0	0.047	0.047	0.0235	0	0	0.0705	0.0117	0.305	0.0476	0.488	0.7023	0.0784	0	0.098	0	0.1058	0.2	0.0823	0.2117	0.0352	0.0117	0.0352	0.35	0.4375	0.0117	1.238	0.0784	0.098	0.1764
Yourlife/Amateur	0.4407	0	0	0	0	0	0.0065	0	0.0457	0	0	0	0	0	0.0588	0.013	0.1045	0.0065	0	0.1045	0.0915	0.0065	0	0	0	0.1503	0.0065	0	0.0065	0.0718	0	0	0.0718	0.0261	0.0588	0	0	0	0	0.0457	0	0.0326	0.0065	0.0065	0	0.0522	0.0588	0.0065	0.013	0	0.0065	0.3875	0.302	0.013	0.013	0	0	0.0196	0.0522	0	0	0	0.2169	0.0328	0.4802	0.5986	0.0869	0.0144	0.2608	0.0434	0.1111	0.2287	0.1503	0.1633	0.013	0.013	0.0261	0.05	1	0.0065	1.1118	0.1014	0.3043	0.4057
Thingwehavelostinfire/Amateur	0.318	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0704	0	0.0563	0	0	0.1408	0.1126	0.014	0	0	0	0.1549	0.0422	0	0.0422	0.0985	0	0	0.0281	0.0281	0.0281	0.0281	0	0	0	0.0281	0	0.014	0.0281	0.0563	0.014	0.0422	0.014	0	0	0	0	0.325	0.1637	0.0281	0	0	0	0	0.0281	0	0	0	0.3014	0.0142	0.3285	0.6285	0.037	0	0.0185	0	0.1267	0.2957	0.0985	0.2112	0.014	0.014	0.0281	0.05	1	0.0422	0.9714	0.037	0.0185	0.0555
MotherRabbit/Amateur	0.3622	0	0	0	0	0	0.0306	0	0	0	0	0	0	0	0.102	0	0.051	0	0	0.0612	0.0714	0	0	0	0	0.1326	0.0204	0	0.0204	0.0612	0	0	0.1122	0.0408	0.0714	0	0.0102	0	0	0.0306	0	0.051	0	0.0816	0.0204	0.0612	0.0918	0.0102	0	0	0.0102	0.2333	0.3256	0	0	0	0.102	0.0306	0	0	0.0204	0.0918	0.3061	0.0206	0.3711	0.7731	0.2424	0	0.1818	0.0303	0.0714	0.2142	0.204	0.1632	0.0204	0.0102	0.051	0.05	1	0.0102	1.1649	0.2424	0.2121	0.4545
Aurora/Amateur	0.2846	0	0	0	0	0	0.0526	0	0	0	0	0	0	0	0.0175	0	0.1754	0	0	0.1403	0.0175	0	0	0	0.0175	0.2456	0	0	0	0.1052	0	0	0.0526	0.0526	0.035	0	0	0	0	0.0175	0	0.0175	0.0175	0	0.0526	0	0.035	0	0	0	0.0175	0.15	0.3187	0.0701	0.0175	0.0175	0	0	0	0	0	0.0175	0.1087	0.0357	0.4285	0.4285	0.2222	0	0.0555	0	0.0175	0.3508	0.0701	0.1578	0.035	0.0175	0.035	0.15	0.35	0	0.8928	0.2222	0.0555	0.2777
Boytoaman/Amateur	0.3983	0	0	0	0	0	0	0	0	0	0.05	0	0	0.025	0.0416	0.0083	0.1	0	0	0.1083	0.025	0.025	0	0	0.0333	0.1833	0	0	0	0.0416	0	0	0.1166	0.0416	0.075	0	0	0	0	0.025	0	0.0583	0.025	0.025	0.0083	0	0.0333	0.0083	0.0083	0	0.0083	0.1833	0.4833	0.05	0.0083	0.0833	0	0.0166	0	0	0	0	0.1166	0.0252	0.2352	0.4957	0.0416	0.0416	0	0.0416	0.0583	0.225	0.1166	0.15	0.025	0.0166	0.0166	0.05	0.95	0.025	0.7563	0.0833	0.0416	0.125
Goodbyepoem/Amateur	0.4086	0	0	0	0	0	0	0	0	0	0.0393	0	0	0	0.0472	0.0078	0.0944	0.0078	0	0.0944	0.0314	0	0	0	0.0078	0.1889	0	0	0	0.0078	0	0	0.1574	0.0629	0.0787	0	0	0	0	0	0	0.0157	0.1181	0	0.0157	0.0236	0.0472	0	0	0	0	0.1833	0.5087	0.1181	0.0078	0	0.0787	0	0.0157	0	0	0.0078	0.1123	0.0238	0.3015	0.4206	0.0416	0.0416	0.125	0	0.0393	0.1968	0.2047	0.1417	0.0393	0.0078	0.0472	0.05	0.95	0	0.746	0.0833	0.125	0.2083
Readme/Amateur	0.3081	0	0	0	0	0	0	0	0	0	0.123	0	0	0	0.0615	0	0.1384	0	0	0.0615	0.0153	0.0153	0	0	0.0307	0.1538	0	0	0	0	0	0	0.0615	0.0153	0.1384	0	0	0.0153	0	0.0153	0	0.0615	0	0.0923	0.0153	0.0153	0.0923	0	0	0	0.0153	0.15	0.3531	0.0769	0	0	0	0	0	0	0	0.0153	0.203	0	0.3281	0.3125	0.1111	0	0	0	0.0307	0.1538	0.1692	0.123	0.0307	0.0153	0.0923	0.05	0.75	0.0153	0.6406	0.1111	0	0.1111
Angeleyes/Amateur	0.3622	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0306	0	0.0612	0	0	0.0612	0.102	0	0	0	0	0.0918	0.0408	0.0102	0.051	0.0714	0	0	0.1224	0.0408	0.0714	0	0.0102	0.0102	0	0.0204	0	0.0204	0.0408	0.0204	0.0306	0.0816	0.051	0	0.0102	0	0.0204	0.325	0.2225	0.102	0	0	0.0408	0	0.0204	0	0	0.0204	0.2142	0.0618	0.3402	0.6597	0.1481	0.037	0.0555	0	0.102	0.2142	0.1938	0.0918	0.0408	0.0102	0.0204	0.4333	0.35	0.0102	1.0618	0.1851	0.0555	0.2407
AnotherChapter/Amateur	0.3672	0	0	0	0	0	0.0297	0	0	0	0	0	0	0	0.0495	0	0.0693	0	0	0.1089	0.0396	0.0099	0	0	0.0396	0.1485	0.099	0	0.099	0.0099	0	0	0.1089	0.0198	0.0594	0	0	0	0	0	0	0.0297	0.0297	0.0198	0.0396	0.0297	0.0594	0	0.0099	0	0.0099	0.325	0.2512	0.0495	0.0297	0	0.0495	0	0	0	0	0	0.2072	0.03	0.3	0.27	0.0185	0	0.0925	0	0.0495	0.2574	0.1485	0.1584	0.0495	0.0099	0.0297	0.4333	0.35	0.0099	0.6	0.0185	0.0925	0.1111
SelfReserved/Amateur	0.4592	0	0	0	0	0	0	0	0	0	0.0535	0	0	0.1071	0.0476	0.0059	0.0773	0	0	0.1011	0.0178	0	0	0	0.0119	0.1607	0.0119	0	0.0119	0.0297	0	0	0.1785	0.0476	0.0535	0	0	0	0	0.0595	0	0.0416	0	0.0178	0.0059	0.0833	0.0178	0.0059	0.0059	0	0.0297	0.2777	0.422	0.0952	0.0595	0	0	0.0238	0.0297	0	0.0178	0.0119	0.1095	0.0239	0.2694	0.3413	0.0444	0.0444	0.1555	0.1111	0.0238	0.2023	0.1428	0.1488	0.0059	0.0059	0.0178	0.15	0.825	0	0.6347	0.0888	0.2666	0.3555
Yetthesunstillsleeps.../Amateur	0.4222	0	0	0	0	0	0.0434	0	0	0	0	0	0	0	0.0507	0	0.1159	0.0072	0	0.0869	0.0652	0	0	0	0.0144	0.2463	0.0072	0	0.0072	0.0289	0	0.0072	0.0652	0.0724	0.0797	0	0	0	0	0.0072	0	0.0434	0.0144	0	0.0072	0.0289	0.0434	0	0	0	0.0072	0.375	0.2687	0.1304	0	0	0.0072	0	0	0	0	0	0.128	0.0729	0.2846	0.6058	0.0454	0.0303	0.0909	0	0.0652	0.2826	0.1304	0.1376	0.0289	0.0144	0.0217	0.4666	0.35	0	0.9635	0.0757	0.0909	0.1666
Letlovebeasone/Amateur	0.4049	0	0	0	0	0	0.1532	0	0.0161	0.008	0.0161	0	0	0	0.0564	0.0161	0.0967	0	0	0.0887	0.0322	0	0.008	0	0.008	0.1693	0	0	0	0.0403	0	0.008	0.0967	0.0564	0.0725	0	0	0	0	0	0.008	0.137	0	0	0.0322	0.0725	0.008	0	0	0	0.008	0.2777	0.3215	0.0725	0.0241	0	0	0	0.0564	0	0	0.008	0.122	0.0325	0.2601	0.4308	0.1333	0.0444	0	0	0.0564	0.2096	0.2177	0.1451	0.0241	0.0161	0.0725	0.05	1	0.008	0.7235	0.1777	0	0.1777
"Charlotte,Emily,andAnne/Amateur"	0.3852	0	0	0	0	0	0.0178	0	0	0	0.0446	0	0	0	0.0892	0.0178	0.1607	0.0178	0	0.1071	0.0625	0	0	0	0.0089	0.1517	0.0267	0	0.0267	0.0892	0.0089	0.0089	0.0178	0.0178	0.0446	0	0	0	0	0.0267	0	0.0089	0.0178	0	0.0625	0.0178	0.0535	0	0	0	0.0089	0.325	0.265	0	0	0	0	0.0089	0.0089	0	0.0178	0.0178	0.2273	0.045	0.3243	0.6846	0.037	0	0.074	0	0.0803	0.2678	0.0982	0.1964	0.0178	0.0178	0.0178	0.05	1	0	1.054	0.037	0.074	0.1111
