Poem/poet	wordCount	$Freq	'Freq	"""Freq"	(Freq	)Freq	",Freq"	#NAME?	?Freq	!Freq	.Freq	:Freq	;Freq	...Freq	CCFreq	CDFreq	DTFreq	EXFreq	FWFreq	INFreq	JJFreq	JJRFreq	JJSFreq	LSFreq	MDFreq	NNFreq	NNPFreq	NNPSFreq	properNounFreq	NNSFreq	PDTFreq	POSFreq	PRPFreq	PRP$Freq	RBFreq	RBRFreq	RBSFreq	RPFreq	SYMFreq	TOFreq	UHFreq	VBFreq	VBDFreq	VBGFreq	VBNFreq	VBPFreq	VBZFreq	WDTFreq	WPFreq	WP$Freq	WRBFreq	numLines	avgLineLength	1SGNFreq	2SGNFreq	3SGMFreq	3SGFFreq	3SGNFreq	1PLNFreq	2PLNFreq	3PLNFreq	contractionsFreq	avgWordLength	alliterationFreq	assonanceFreq	consonanceFreq	slantEndRhymeFreq	semiEndRhymeFreq	perfectEndRhymeFreq	identityEndRhymeFreq	adjFreq	nounFreq	verbFreq	conjFreq	topNounFreq	topAdjFreq	topVerbFreq	numStanzas	avgLinesPerStanza	comparativesFreq	soundDevicesFreq	partialEndRhymeFreq	fullEndRhymeFreq	endRhymeFreq
"RiotAct,April29,1992,byAi/Poet"	0.6269	0	0.0057	0	0	0	0.0545	0	0	0	0.0517	0	0.0028	0	0.0545	0	0.0775	0.0057	0	0.1522	0.0517	0	0	0	0.0143	0.1494	0.0229	0.0057	0.0287	0.0373	0	0.0143	0.1235	0.0201	0.0718	0	0	0.0028	0	0.0229	0	0.0775	0	0.0287	0.0172	0.0488	0.0402	0.0028	0.0114	0	0	0.6047	0.2676	0.0833	0.0114	0.0172	0	0.0201	0.0028	0	0.0086	0.0431	0.2084	0.0317	0.3861	0.5763	0.1016	0.0169	0.0169	0	0.0517	0.2155	0.1666	0.2068	0.0086	0.0028	0.0201	0.05	1	0	0.9942	0.1186	0.0169	0.1355
"Twenty-yearMarriage,byAi/Poet"	0.4135	0	0	0	0	0	0.1068	0	0	0	0.061	0	0.0152	0	0.0305	0.0229	0.1068	0	0	0.1297	0.0534	0	0	0	0.0381	0.1832	0	0	0	0.0381	0	0.0076	0.1221	0.0229	0.0763	0	0	0.0076	0	0.0229	0	0.0916	0.0076	0.0152	0.0305	0.0381	0.0152	0	0	0	0	0.2666	0.3546	0.0687	0.0458	0	0	0.0076	0.0229	0	0	0.0534	0.1323	0.023	0.2923	0.4769	0.119	0	0	0	0.0763	0.2213	0.1526	0.1603	0.0076	0.0076	0.0152	0.05	1	0	0.7923	0.119	0	0.119
"ToDorothy,byMarvinBell/Poet"	0.3704	0	0	0.0194	0	0	0.0873	0	0	0	0.097	0.0097	0	0	0.0485	0	0.1456	0	0	0.0679	0.0679	0	0	0	0.0388	0.1553	0	0	0	0.0388	0	0	0.1359	0.0097	0.0776	0	0	0	0	0.0194	0	0.1067	0.0388	0	0.0097	0.0582	0.0097	0.0097	0	0	0	0.2444	0.3226	0.0485	0.0485	0	0	0.0388	0.0097	0	0	0.0388	0.1216	0	0.4313	0.5588	0.0277	0	0.0277	0.0277	0.0679	0.1941	0.2135	0.1165	0.0194	0.0194	0.0388	0.15	0.6499	0	0.9901	0.0277	0.0555	0.0833
"ToanAdolescentWeepingWillow,byMarvinBell/Poet"	0.5081	0	0	0	0	0	0.0478	0	0.0287	0	0.0909	0	0	0	0.0382	0	0.11	0	0	0.0717	0.043	0	0.0047	0	0.0095	0.2009	0.0047	0	0.0047	0.0095	0	0.0047	0.1578	0.0191	0.0813	0	0	0	0	0.0095	0.0095	0.0382	0.0526	0.0143	0.0047	0.0765	0.0143	0.0047	0.0239	0	0.0095	0.4562	0.3024	0.0669	0.0526	0.0382	0	0.0191	0	0	0	0.0095	0.1065	0.0096	0.298	0.3653	0.0312	0.0104	0.0208	0	0.0478	0.2153	0.1818	0.11	0.0239	0.0095	0.0239	0.6799	0.2416	0.0047	0.673	0.0416	0.0208	0.0625
"DreamSong26:Thegloriesoftheworldstruckme,byJohnBerryman/Poet"	0.4037	0	0	0	0.0081	0.0081	0.1219	0	0.0325	0	0.0975	0.0081	0	0	0.0162	0.0081	0.0894	0	0	0.1219	0.0487	0	0	0	0.0081	0.1463	0.13	0	0.13	0.065	0.0081	0.0081	0.0569	0.0406	0.0487	0.0081	0.0081	0	0	0.0081	0	0.0487	0.065	0.0162	0	0	0.0162	0	0.0325	0	0	0.2888	0.3138	0.0569	0.0162	0.0162	0	0.0081	0	0	0	0	0.2168	0.0409	0.4016	0.4344	0.0833	0.0208	0.0625	0	0.0569	0.3414	0.13	0.1382	0.0325	0.0081	0.0243	0.25	0.55	0.0162	0.877	0.1041	0.0625	0.1666
"DreamSong172:Yourfacebroods,byJohnBerryman/Poet"	0.4024	0	0	0	0	0	0.0655	0	0	0	0.0409	0	0	0	0.0327	0.0081	0.1065	0	0	0.1557	0.0491	0.0081	0	0	0	0.1721	0.0491	0	0.0491	0.0491	0	0	0.0573	0.0655	0.0573	0	0	0	0	0.0163	0	0.0409	0.0409	0.0081	0.0409	0.0081	0.0245	0	0	0	0.0081	0.2888	0.3129	0.0327	0.0655	0.0163	0	0	0.0081	0	0	0	0.2316	0.0413	0.5041	0.6528	0.0416	0	0.0625	0	0.0655	0.2704	0.1147	0.1885	0.0163	0.0081	0.0081	0.25	0.55	0.0081	1.1983	0.0416	0.0625	0.1041
"TheFish,byElizabethBishop/Poet"	0.6482	0	0	0	0	0	0.082	0.0105	0	0.0026	0.037	0.0026	0	0	0.0767	0.0158	0.1005	0.0026	0	0.1375	0.0925	0.0132	0	0	0.0052	0.156	0	0	0	0.0687	0	0	0.0529	0.0423	0.0423	0.0026	0	0.0026	0	0.0052	0	0.0105	0.0714	0.0158	0.0476	0.0079	0.0052	0.0052	0	0	0.0079	0.6761	0.2243	0.0238	0.0026	0.0449	0	0.0132	0	0	0.0105	0.0052	0.2282	0.0344	0.3713	0.5676	0.081	0.0045	0.009	0.009	0.1216	0.2248	0.0952	0.2142	0.0105	0.0079	0.0105	0.05	1	0.0158	0.9734	0.0855	0.018	0.1036
"WarningtotheReader,byRobertBly/Poet"	0.4641	0	0	0	0	0	0.0639	0	0	0.0058	0.0406	0	0.0058	0.0058	0.0581	0.0116	0.1337	0	0	0.1279	0.0639	0	0	0	0.0116	0.1569	0	0.0058	0.0058	0.1104	0.0058	0.0058	0.0174	0.0058	0.0523	0	0	0.0058	0	0.0174	0	0.0348	0	0.0232	0.029	0.0465	0.029	0	0.0058	0	0.0174	0.05	0.65	0.0058	0	0	0	0	0.0116	0	0.0058	0	0.2131	0.0292	0.421	0.5146	0.3333	0	0	0	0.0755	0.2732	0.1104	0.186	0.0174	0.0174	0.0116	0.05	0.25	0	0.9649	0.3333	0	0.3333
"TheRussian,byRobertBly/Poet"	0.5171	0	0.0547	0	0	0	0.0684	0	0.0091	0	0.0913	0.0091	0	0	0.0228	0.0136	0.1369	0	0	0.0639	0.041	0	0.0045	0	0.0456	0.1461	0.0091	0.0045	0.0136	0.041	0	0.0136	0.1278	0.0502	0.0273	0	0	0.0182	0	0.0319	0	0.0776	0.073	0.0136	0.0136	0.0502	0.0045	0.0045	0.0045	0	0.0091	0.3625	0.413	0.041	0.0273	0.0639	0	0.0136	0.0228	0	0.0091	0.0365	0.1242	0.0275	0.2247	0.4587	0.0952	0.0158	0.0158	0	0.0593	0.2009	0.2054	0.0867	0.0136	0.0091	0.0182	0.15	1	0.0045	0.711	0.1111	0.0158	0.1269
"ALovelyLove,byGwendolynBrooks/Poet"	0.377	0	0	0	0	0	0.0747	0	0	0	0.1028	0	0	0	0.0467	0.0093	0.0841	0	0	0.0934	0.0467	0	0	0	0.0093	0.1214	0.0186	0	0.0186	0.0934	0	0	0.1121	0.028	0.0467	0	0	0	0	0.0093	0	0.0747	0.0373	0.028	0.056	0.056	0.0093	0	0	0.0093	0.0093	0.2444	0.3273	0.0373	0.0186	0	0	0.028	0.0467	0	0.0093	0	0.2292	0.0377	0.2924	0.6037	0.2222	0	0.1666	0	0.056	0.2336	0.1775	0.1401	0.0093	0.0093	0.028	0.05	1	0	0.9339	0.2222	0.1666	0.3888
