Word,contempPoet,19th,contempAmateur,total
fawn,1,0,0,1
writings,0,3,0,3
yellow,7,7,0,14
four,10,4,3,17
woods,3,9,0,12
hanging,1,0,0,1
ringlets,0,1,0,1
marching,0,1,0,1
increase,0,1,0,1
snowing,1,1,0,2
unanswered,2,0,0,2
fingernails,0,1,0,1
lore,0,1,0,1
lord,1,5,5,11
meadows,1,1,0,2
bocks,0,1,0,1
sinking,2,1,0,3
swivel,2,0,0,2
oceans,0,0,2,2
dell,0,1,0,1
foul,0,1,0,1
bringing,3,1,0,4
revelers,0,2,0,2
prize,0,2,2,4
wooden,2,0,1,3
tabletops,1,0,0,1
piling,0,1,0,1
implanting,1,0,0,1
crotch,1,0,0,1
irises,2,0,0,2
nigh,0,1,0,1
tired,0,4,4,8
snuggles,1,0,0,1
railing,0,1,0,1
pulse,1,1,0,2
elegant,1,0,2,3
rusty,2,0,0,2
sailed,0,1,0,1
scraped,1,0,1,2
blouse,2,0,0,2
admire,0,2,0,2
tensely,1,0,0,1
dangled,1,0,0,1
ruthless,1,0,0,1
thunder,0,3,1,4
cooking,0,1,0,1
fingers,9,1,4,14
shocks,2,0,0,2
cull,0,1,0,1
hero,0,1,0,1
sunbeams,0,0,1,1
here,27,24,19,70
herd,0,1,0,1
china,1,0,0,1
hers,1,1,0,2
shriek,1,2,0,3
kids,0,0,12,12
langth,0,1,0,1
climbed,1,0,0,1
natures,0,1,0,1
i'm,25,6,59,90
golden,1,8,1,10
whoso,0,1,0,1
birthright,1,0,0,1
ground,6,2,5,13
explained,1,0,1,2
brought,6,7,3,16
stern,2,0,0,2
catchs,0,1,0,1
cheating,0,0,1,1
spoke,0,4,0,4
exhort,0,1,0,1
glimmering,0,1,0,1
cannibal,1,0,0,1
music,7,6,2,15
therefore,0,2,1,3
heralded,0,1,1,2
until,11,4,8,23
females,1,0,0,1
holy,1,2,1,4
successful,0,1,0,1
brings,0,1,1,2
holt,0,1,0,1
whirling,2,0,1,3
hurt,1,2,9,12
glass,11,7,3,21
hole,7,0,0,7
hold,8,5,15,28
locked,3,1,1,5
blade,2,0,1,3
plunged,1,1,0,2
enflames,0,1,0,1
sweeter,0,0,1,1
unjust,1,0,0,1
bitterest,0,1,0,1
howsoe'er,0,1,0,1
want,12,3,32,47
hog,0,2,0,2
gusts,0,1,0,1
travel,0,0,1,1
drying,2,0,0,2
machine,0,0,1,1
how,32,32,37,101
hot,4,5,1,10
hop,0,0,1,1
palaces,0,1,0,1
beauty,2,22,25,49
shores,1,1,0,2
possum,1,0,0,1
wrong,1,6,5,12
reddens,1,0,0,1
extortion,0,1,0,1
entrusted,0,1,0,1
calves,1,0,0,1
luring,0,1,0,1
specks,1,0,0,1
keeps,3,0,2,5
wing,4,0,0,4
wind,12,26,9,47
wine,3,4,0,7
sprawling,0,1,0,1
dreamed,0,3,0,3
wrought,0,3,0,3
fir,0,1,0,1
screaming,1,0,2,3
fix,2,0,0,2
survivors,0,1,0,1
bulding,0,1,0,1
hidden,1,2,0,3
easier,0,1,0,1
glorify,0,1,0,1
thrones,0,1,0,1
lambert,0,4,0,4
enrich,0,1,0,1
slate,2,0,0,2
effects,0,0,1,1
schools,1,0,0,1
braised,1,0,0,1
blink,1,0,1,2
silver,7,15,1,23
rumour,0,2,0,2
thyme,0,0,1,1
tiers,0,1,0,1
debut,0,1,0,1
ankle,1,0,0,1
flamboyantly,1,0,0,1
fhe,0,1,0,1
comely,0,2,0,2
loyalties,0,1,0,1
whim,1,1,0,2
snakes,2,1,0,3
woes,0,1,0,1
concord,1,0,0,1
garment,2,0,0,2
allah,0,1,0,1
spider,0,1,0,1
crocus,1,0,0,1
cathedral,2,0,0,2
whir,0,1,0,1
blinded,1,0,0,1
borne,1,1,0,2
drove,3,1,0,4
re,0,0,1,1
foundation,0,0,1,1
fugitive,0,1,0,1
enormous,1,0,0,1
ate,1,0,0,1
shelves,2,1,0,3
graces,0,1,0,1
shipped,2,0,0,2
tempting,0,0,1,1
speeds,0,1,1,2
flitting,0,1,0,1
brickwork,1,0,0,1
angelic,0,0,1,1
playfully,0,1,0,1
wash,2,2,0,4
spinning,1,0,0,1
elms,1,1,0,2
bitten,0,1,0,1
service,0,1,0,1
forsooth,0,1,0,1
needed,2,0,1,3
master,0,5,0,5
blossoms,3,2,0,5
architect,2,0,0,2
legs,1,0,0,1
bitter,0,2,0,2
listen,7,1,6,14
danish,0,1,0,1
rewards,0,0,1,1
collapse,2,0,0,2
fibrous,1,0,0,1
wisdom,1,2,0,3
motionless,0,1,1,2
crawl,0,1,3,4
showed,4,1,0,5
coward,0,1,0,1
sycamore,1,0,0,1
tree,10,10,1,21
second,0,5,2,7
nations,0,1,0,1
shower,0,1,0,1
idle,2,5,1,8
sheen,0,1,0,1
feeling,1,2,23,26
broods,1,0,0,1
shyly,1,0,0,1
headland,0,1,0,1
shrubs,1,0,0,1
corny,0,0,1,1
alive,6,4,1,11
person,7,0,3,10
bleachers,1,0,0,1
eagerly,0,1,0,1
metallic,1,0,0,1
doors,3,3,1,7
hum,0,1,0,1
crossbones,0,1,0,1
shall,2,45,1,48
object,2,1,0,3
toil,0,4,0,4
errors,0,0,1,1
mouth,15,6,1,22
letter,1,3,0,4
conceded,0,0,1,1
morality,0,1,0,1
singer,1,2,0,3
cops,1,0,0,1
grove,2,1,0,3
camp,1,1,0,2
nettle,0,1,0,1
tech,0,0,1,1
nineteenth,1,0,0,1
scream,1,3,1,5
incomplete,0,0,1,1
marvel,0,0,1,1
saying,4,1,1,6
insects,1,0,0,1
meetings,1,1,0,2
droppings,1,0,0,1
hazy,0,1,0,1
lethal,1,0,0,1
apace,0,1,0,1
busy,0,2,0,2
cousins,1,0,0,1
cupid,0,4,1,5
bliss,0,0,1,1
touched,1,4,0,5
rich,3,9,0,12
mend,0,1,0,1
rice,1,1,0,2
plate,0,1,1,2
tramped,1,0,0,1
honda,1,0,0,1
plath,1,0,0,1
foremost,0,1,0,1
pocket,5,0,0,5
cushion,0,0,1,1
altogether,0,0,1,1
chutney,1,0,0,1
greens,0,1,0,1
dipping,1,0,0,1
pretzel,0,1,0,1
eyelids,2,0,1,3
plashing,0,1,0,1
fitly,0,1,0,1
release,0,0,1,1
hasten,0,3,1,4
boarded,0,1,0,1
precluding,0,0,1,1
disaster,1,0,0,1
fair,0,9,1,10
deemed,1,0,0,1
bled,0,1,1,2
goodnight,0,0,1,1
result,0,0,1,1
erika,1,0,0,1
fail,1,1,0,2
crouch,0,1,0,1
hammer,1,1,0,2
best,6,5,6,17
lots,1,0,2,3
rings,0,2,0,2
score,1,2,0,3
scorn,1,2,0,3
apples,1,0,1,2
letting,2,0,2,4
screwball,1,0,0,1
never,20,23,46,89
nature,2,6,1,9
rolled,2,0,0,2
smelled,1,0,0,1
lapping,0,1,0,1
pround,0,1,0,1
pity,1,3,0,4
accident,1,1,0,2
country,2,7,0,9
pits,1,0,0,1
levitating,0,0,1,1
dora,0,1,0,1
floormat,1,0,0,1
asked,6,1,1,8
vain,0,3,1,4
mosses,0,1,0,1
canyon,1,0,0,1
gleaming,1,2,0,3
grazing,1,0,0,1
godhead,1,0,0,1
signals,0,1,0,1
lighthouse,1,0,0,1
source,3,0,0,3
seashell,0,3,0,3
fro,0,3,0,3
